Code,Description,Sub-Description,,,Units,2001-02,2002-03,2003-04,2004-05,2005-06,2006,2007,2008,2009,2010,2011,2012,RSE indicator(a),% change since 2009,sig(b),trend since 2009(c)
17501,"Fresh and processed vegetables, excluding potatoes",Other fresh vegetables,"Fresh onions, leeks and shallots",,g,97,95,96,87,97,84,110,121,94,117,109,105,,+12,,
17601,"Fresh and processed vegetables, excluding potatoes",Other fresh vegetables,Fresh cucumbers,,g,31,30,36,37,35,36,41,41,34,37,38,44,,+29,,
17701,"Fresh and processed vegetables, excluding potatoes",Other fresh vegetables,Fresh mushrooms,,g,39,33,32,37,34,36,34,41,34,37,39,32,Ÿ,-7,,
17801,"Fresh and processed vegetables, excluding potatoes",Other fresh vegetables,Fresh tomatoes,,g,85,86,84,88,81,81,84,98,83,90,77,79,Ÿ,-5,,
183,"Fresh and processed vegetables, excluding potatoes",Other fresh vegetables,Miscellaneous fresh vegtables,,g,60,58,67,68,78,69,125,115,83,104,94,91,,+9,,
18301,"Fresh and processed vegetables, excluding potatoes",Other fresh vegetables,,"Fresh vegetable stewpack, stirfry pack etc.",g,15,14,17,19,23,21,55,34,29,38,21,30,,+0,,
18302,"Fresh and processed vegetables, excluding potatoes",Other fresh vegetables,,Fresh stem vegetables,g,15,17,17,16,20,16,22,24,18,19,21,18,,+2,,
18303,"Fresh and processed vegetables, excluding potatoes",Other fresh vegetables,,"Fresh marrow, courgettes, aubergine, pumpkin and other vegetables",g,25,23,31,30,32,30,42,53,34,40,48,40,,+17,,
18304,"Fresh and processed vegetables, excluding potatoes",Other fresh vegetables,,Fresh herbs,g,5,3,2,3,2,2,6,4,2,7,4,4,ž,+62,,
cat702,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,,,g,387,354,337,371,382,344,388,390,357,387,403,349,Ÿ,-2,,
18401,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,"Tomatoes, canned or bottled",,g,47,36,38,49,45,38,43,67,45,61,58,39,,-13,,
18501,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,"Peas, canned",,g,43,39,28,33,35,39,33,18,22,17,31,31,ž,+43,,
188,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,Beans canned,,g,125,115,99,104,116,104,109,137,116,124,128,119,,+3,,
18802,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,,Baked beans in sauce,g,115,106,91,96,104,92,100,120,103,106,115,105,,+2,,
18803,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,,Other canned beans and pulses,g,10,9,8,8,12,12,9,17,13,18,14,14,ž,+7,,
19101,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,Other canned vegetables,,g,27,19,25,27,21,25,27,22,20,15,22,15,ž,-25,,
19201,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,Dried pulses other than air-dried,,g,3,4,6,3,4,2,10,5,6,7,6,5,ž,-21,,
19501,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,Air-dried vegetables,,g,0,1,0,0,1,0,0,0,0,0,0,0,ž, ,,
196,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,Vegetable juices and purees,,ml,9,7,5,8,3,3,5,8,9,4,9,4,ž,-53,,
19602,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,,Tomato puree and vegetable purees,ml,5,2,3,3,1,2,4,1,3,2,4,2,ž,-19,,
19603,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,,"Vegetable juices eg tomato juice, carrot juice",ml,4,5,2,4,2,1,2,7,7,2,4,2,ž,-68,,
20301,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,"Peas, frozen",,g,37,40,38,41,37,33,39,50,34,33,42,31,,-10,,
20401,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,"Beans, frozen",,g,8,6,4,7,8,6,11,4,8,3,3,8,ž,-3,,
206,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,Ready meals and other vegetable products (inc takeaways),,g,49,52,55,59,66,55,60,55,60,75,63,61,,+2,,
20601,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,,"Ready meals and other vegetable products, frozen or not frozen",g,41,47,49,50,57,50,49,48,53,68,55,55,,+4,,
20604,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,,All vegetable takeaway products,g,8,5,6,9,9,5,10,7,6,7,8,6,ž,-11,,
20801,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,Other frozen vegetables,,g,38,34,38,41,47,38,50,22,39,48,41,36,ž,-6,,
cat810,Fresh and processed fruit, ,,,g,"1,018","1,026","1,053","1,084","1,203","1,171","1,203","1,360","1,071","1,158",990,949,Ÿ,-11,,m
210231,Fresh and processed fruit,Fresh fruit,,,g,683,710,698,790,816,772,798,959,748,759,691,654,Ÿ,-13,,
21001,Fresh and processed fruit,Fresh fruit,Fresh oranges,,g,52,50,53,61,66,54,49,67,47,45,40,50,ž,+6,,
21401,Fresh and processed fruit,Fresh fruit,Other fresh citrus fruits,,g,72,83,66,77,77,78,67,92,68,64,65,64,,-5,,
21701,Fresh and processed fruit,Fresh fruit,Fresh apples,,g,173,160,167,180,176,186,158,217,154,157,143,111,Ÿ,-28,yes,m
21801,Fresh and processed fruit,Fresh fruit,Fresh pears,,g,41,41,46,56,49,57,34,53,48,46,48,36,,-26,,
22101,Fresh and processed fruit,Fresh fruit,Fresh stone fruit,,g,54,57,56,74,65,55,65,61,66,42,48,38,,-42,yes,m
22201,Fresh and processed fruit,Fresh fruit,Fresh grapes,,g,47,48,49,49,59,54,54,77,53,60,48,45,,-15,,
22701,Fresh and processed fruit,Fresh fruit,Other fresh soft fruit,,g,17,24,27,29,32,35,50,62,44,46,53,45,,+3,,
22801,Fresh and processed fruit,Fresh fruit,Fresh bananas,,g,174,203,194,213,240,185,235,256,219,222,191,194,Ÿ,-11,,
22901,Fresh and processed fruit,Fresh fruit,Fresh melons,,g,27,23,24,34,31,33,41,30,25,24,21,26,ž,+5,,
23101,Fresh and processed fruit,Fresh fruit,Other fresh fruit,,g,26,19,15,17,20,36,44,44,27,51,34,46,,+73,,
233248,Fresh and processed fruit,Processed fruit and fruit products,,,g,335,317,354,294,387,399,405,401,322,399,299,294,Ÿ,-9,,
23301,Fresh and processed fruit,Processed fruit and fruit products,"Tinned peaches, pears and pineapples",,g,21,20,19,13,17,18,15,14,19,21,17,14,ž,-26,,
23601,Fresh and processed fruit,Processed fruit and fruit products,All other tinned or bottled fruit,,g,18,28,17,21,31,20,20,21,15,19,11,12,ž,-19,,
24001,Fresh and processed fruit,Processed fruit and fruit products,Dried fruit,,g,26,18,19,14,20,23,23,22,20,21,13,15,,-24,,
24101,Fresh and processed fruit,Processed fruit and fruit products,"Frozen strawberries, apple slices, peach halves, oranges and other frozen fruits",,g,2,1,1,1,2,1,1,4,1,2,1,1,ž,+1,,
245,Fresh and processed fruit,Processed fruit and fruit products,"Nuts, edible seeds and peanut butter",,g,17,18,21,20,21,29,30,29,23,31,25,22,,-1,,
24502,Fresh and processed fruit,Processed fruit and fruit products,,Nuts and edible seeds,g,15,16,19,19,18,26,26,26,21,27,21,21,,-3,,
24503,Fresh and processed fruit,Processed fruit and fruit products,,Peanut butter,g,2,2,2,2,2,3,4,3,1,4,5,2,ž,+42,,
24801,Fresh and processed fruit,Processed fruit and fruit products,Pure fruit juices (g),,ml,251,232,278,226,297,308,317,311,245,306,231,229,,-6,,
251263,Bread, ,,,g,848,821,765,772,742,683,696,706,692,667,669,596,ŸŸ,-14,yes,m
cat850,Bread,White bread,,,g,547,555,476,457,394,375,350,335,355,316,338,277,Ÿ,-22,yes,m
25102,Bread,White bread,"White bread, standard, unsliced",,g,99,69,58,86,58,52,43,56,43,52,34,26,,-41,,m
25202,Bread,White bread,"White bread, standard, sliced",,g,414,467,409,345,320,316,302,276,308,262,303,249,Ÿ,-19,yes,
25701,Bread,White bread,"White bread, premium, sliced and unsliced",,g,32,13,6,24,6,4,3,2,2,2,1,2,ž,-3,,
25801,Bread,White bread,"White bread, soft grain, sliced and unsliced",,g,3,6,3,2,11,3,3,2,2,0,1,0,ž,-83,,
cat851,Bread,Brown and wholemeal bread,,,g,140,143,143,165,194,151,161,192,181,193,158,141,Ÿ,-22,,m
25901,Bread,Brown and wholemeal bread,"Brown bread, sliced and unsliced",,g,33,49,39,53,46,32,28,48,41,32,46,31,,-24,,
26001,Bread,Brown and wholemeal bread,"Wholemeal and granary bread, sliced and unsliced",,g,107,94,105,111,148,120,133,144,140,161,112,110,,-21,,m
263,Bread,Total other bread,,,g,162,124,146,150,153,157,185,180,156,157,173,178,Ÿ,+14,,
26302,Bread,Total other bread,"Rolls - white, brown or wholemeal",,g,85,53,67,56,59,63,68,65,53,57,67,58,,+10,,
26303,Bread,Total other bread,Malt bread and fruit loaves,,g,5,7,7,7,6,7,5,10,10,8,7,8,ž,-23,,
26304,Bread,Total other bread,Vienna and french bread,,g,29,22,18,31,24,25,20,25,20,22,23,33,,+66,yes,
26305,Bread,Total other bread,Starch reduced bread and rolls,,g,12,13,10,14,13,10,12,7,10,6,6,6,ž,-36,,
26308,Bread,Total other bread,Other breads,,g,19,21,35,31,38,39,67,56,49,47,50,58,,+20,,
26309,Bread,Total other bread,Sandwiches,,g,7,6,6,7,10,8,10,12,11,8,15,9,ž,-12,,
26310,Bread,Total other bread,Sandwiches from takeaway,,g,3,1,2,3,2,3,1,3,1,6,4,3,ž,+113,,
26311,Bread,Total other bread,Takeaway breads,,g,2,1,1,1,2,1,2,1,2,2,1,2,ž,+0,,
26401,Flour, ,,,g,51,47,39,50,49,37,63,48,38,46,73,44,ž,+14,,
267270,"Cakes, buns and pastries", ,,,g,158,154,152,162,157,144,157,171,183,149,143,153,Ÿ,-16,,
270,"Cakes, buns and pastries",Cakes and pastries,,,g,127,123,117,117,124,111,116,131,129,99,95,116,Ÿ,-10,,
27001,"Cakes, buns and pastries",Cakes and pastries,"Cakes and pastries, not frozen",,g,126,123,116,116,123,111,115,131,128,99,94,115,Ÿ,-10,,
27002,"Cakes, buns and pastries",Cakes and pastries,Takeaway pastries,,g,0,1,1,1,0,1,1,0,1,0,0,2,ž,+25,,
26701,"Cakes, buns and pastries","Buns, scones and teacakes",,,g,32,30,34,45,33,32,40,40,54,50,48,37,,-31,,
271277,Biscuits and crispbreads, ,,,g,187,167,165,171,170,166,175,206,175,163,160,151,Ÿ,-14,,
27702,Biscuits and crispbreads,Chocolate biscuits,,,g,80,64,63,65,58,60,56,63,60,59,53,58,Ÿ,-4,,
274,Biscuits and crispbreads,Biscuits other than chocolate,,,g,102,98,98,100,104,98,114,137,107,97,101,88,Ÿ,-18,,
27402,Biscuits and crispbreads,Biscuits other than chocolate,Sweet biscuits (not chocolate) and cereal bars,,g,89,86,85,90,88,86,103,124,94,86,89,76,Ÿ,-20,,
27403,Biscuits and crispbreads,Biscuits other than chocolate,Cream crackers and other unsweetened biscuits,,g,13,12,13,10,16,12,11,13,13,11,12,12,,-8,,
27101,Biscuits and crispbreads,Crispbread,,,g,5,5,5,6,8,8,5,6,8,7,6,6,,-26,,
281301,Other cereals and cereal products, ,,,g,472,432,439,452,496,481,573,525,512,564,514,503,Ÿ,-2,,
28101,Other cereals and cereal products,Oatmeal and oat products,,,g,6,8,11,12,13,11,17,17,13,21,17,20,ž,+55,,
282,Other cereals and cereal products,Breakfast cereals,,,g,127,135,126,130,147,139,141,151,139,141,116,109,Ÿ,-22,yes,m
28202,Other cereals and cereal products,Breakfast cereals,Muesli,,g,11,19,16,11,19,15,19,26,10,15,20,16,ž,+54,,
28203,Other cereals and cereal products,Breakfast cereals,High fibre breakfast cereals,,g,50,60,49,56,65,59,60,67,57,58,43,40,,-30,yes,m
28204,Other cereals and cereal products,Breakfast cereals,Sweetened breakfast cereals,,g,34,29,32,33,36,34,33,32,41,40,21,23,,-44,yes,m
28205,Other cereals and cereal products,Breakfast cereals,Other breakfast cereals,,g,31,28,29,30,27,30,28,26,31,28,32,31,,-1,,
285,Other cereals and cereal products,Canned milk puddings,,,g,27,28,18,30,28,27,39,22,28,41,32,25,ž,-8,,
28502,Other cereals and cereal products,Canned milk puddings,Canned or fresh carton custard,,g,12,14,8,11,13,12,25,14,14,18,16,13,ž,-5,,
28503,Other cereals and cereal products,Canned milk puddings,All canned milk puddings,,g,15,14,11,19,15,14,14,8,14,23,16,12,ž,-11,,
28601,Other cereals and cereal products,Puddings,,,g,9,9,6,11,10,6,19,8,12,11,9,9,ž,-26,,
287,Other cereals and cereal products,Rice,,,g,58,46,59,62,65,74,81,61,62,93,91,76,,+22,,
28702,Other cereals and cereal products,Rice,Dried rice,,g,25,23,37,33,32,39,53,36,27,51,55,31,ž,+15,,
28703,Other cereals and cereal products,Rice,Cooked rice,,g,5,5,4,8,9,7,5,13,12,19,13,21,ž,+72,,
28704,Other cereals and cereal products,Rice,Takeaway rice,,g,28,19,18,21,23,28,23,12,23,23,23,24,ž,+3,,
29001,Other cereals and cereal products,"Invalid foods, slimming foods and sports foods",,,g,1,4,6,1,3,4,1,3,13,1,3,6,ž,-53,,
29101,Other cereals and cereal products,Infant cereal foods,,,g,1,1,2,1,1,0,1,2,1,2,1,1,ž,+25,,
29402,Other cereals and cereal products,Cakes and pastries - frozen,,,g,11,7,14,15,10,6,12,7,12,3,6,19,ž,+55,,
295,Other cereals and cereal products,Pasta,,,g,96,77,74,69,81,85,93,104,80,91,92,95,,+19,,
29501,Other cereals and cereal products,Pasta,Canned pasta,,g,42,28,27,26,32,33,25,29,33,28,27,34,,+3,,
29502,Other cereals and cereal products,Pasta,Dried and fresh pasta,,g,52,48,47,42,47,51,67,74,46,62,63,60,,+30,,
29503,Other cereals and cereal products,Pasta,Takeaway pasta and noodles,,g,2,1,0,0,2,2,1,0,1,2,1,1,ž,+35,,
296,Other cereals and cereal products,Pizza,,,g,64,47,65,57,68,69,90,58,77,80,65,73,,-5,,
29601,Other cereals and cereal products,Pizza,"Pizzas, frozen and not frozen",,g,50,39,52,43,53,52,70,51,64,58,50,49,,-22,,
29602,Other cereals and cereal products,Pizza,Takeaway pizza,,g,14,8,13,14,15,16,20,7,13,21,14,23,ž,+81,,
299,Other cereals and cereal products,Other cereal convenience foods,,,g,69,66,56,60,69,58,72,83,70,75,80,63,,-10,,
29907,Other cereals and cereal products,Other cereal convenience foods,"Cake, pudding and dessert mixes",,g,11,10,4,5,5,6,5,9,5,5,7,11,ž,+114,yes,k
29909,Other cereals and cereal products,Other cereal convenience foods,Cereal snacks,,g,19,22,17,16,14,17,17,18,17,21,18,16,,-6,,
29915,Other cereals and cereal products,Other cereal convenience foods,"Quiches and flans, frozen and not frozen",,g,9,9,8,8,9,6,9,12,10,8,7,5,ž,-48,,
29916,Other cereals and cereal products,Other cereal convenience foods,"Takeaway crisps, savoury snacks, popcorn, popadums, prawn crackers",,g,2,2,1,1,1,1,1,1,1,1,1,0,ž,-42,,
29919,Other cereals and cereal products,Other cereal convenience foods,"Other cereal foods, frozen and not frozen",,g,28,24,26,30,39,27,41,44,37,41,47,30,,-18,,
30101,Other cereals and cereal products,Other cereals,,,g,4,4,2,3,2,3,7,9,5,6,4,5,ž,+8,,
304313,Beverages, ,,,g,65,58,46,50,68,57,60,56,60,52,77,49,Ÿ,-18,,
30401,Beverages,Tea,,,g,39,38,28,33,43,36,34,33,36,27,43,25,,-31,yes,
30701,Beverages,Coffee beans and ground coffee,,,g,5,3,2,3,3,2,1,3,3,3,4,5,ž,+108,,
30801,Beverages,Instant coffee,,,g,15,10,11,10,14,12,14,13,17,11,19,14,,-17,,
30901,Beverages,Coffee essences,,,ml,0,0,0,1,0,0,1,0,0,0,0,0,ž, , ,
31001,Beverages,Tea and coffee from takeaway,,,ml,0,0,0,0,0,0,0,0,1,1,0,0,ž,-52,,
31201,Beverages,Cocoa and chocolate drinks,,,g,5,4,3,2,4,4,6,3,3,6,6,5,ž,+82,,
31301,Beverages,Malt drinks and chocolate versions of malted drinks,,,g,2,3,2,1,4,2,4,4,2,5,5,1,ž,-72,,
314339,Other food and drink, ,,,g,594,690,664,723,611,713,620,651,643,668,689,693,Ÿ,+8,,
31401,Other food and drink,Mineral or spring waters,,,ml,138,232,176,290,161,245,136,176,138,176,229,215,,+56,,
31501,Other food and drink,Baby foods,,,g,2,15,11,6,6,10,11,10,15,11,9,13,ž,-14,,
31801,Other food and drink,Soups - canned or cartons,,,g,74,81,70,66,74,49,75,77,73,78,61,82,,+11,,
31901,Other food and drink,Soups - dehydrated or powdered,,,g,3,3,2,3,3,5,5,4,4,4,7,3,ž,-5,,
32001,Other food and drink,Soups - from takeaway,,,g,0,0,0,0,0,0,0,1,1,0,0,0,ž,-100,,
323,Other food and drink,Spreads and dressings,,,g,26,30,36,36,33,33,42,44,39,34,33,44,,+12,,
32302,Other food and drink,Spreads and dressings,Salad dressings,,g,23,27,32,30,27,28,36,38,31,28,28,32,,+3,,
32303,Other food and drink,Spreads and dressings,Other spreads and dresssings,,g,3,3,4,6,6,5,6,5,8,6,5,12,ž,+51,,
327,Other food and drink,Pickles and sauces,,,g,134,122,124,123,140,135,140,131,150,147,161,130,Ÿ,-13,,
32702,Other food and drink,Pickles and sauces,Pickles,,g,24,19,14,13,9,15,14,16,12,10,17,12,ž,-4,,
32703,Other food and drink,Pickles and sauces,Sauces,,g,109,102,110,110,129,119,125,115,137,136,143,117,Ÿ,-14,,
32704,Other food and drink,Pickles and sauces,Takeaway sauces and mayonnnaise,,g,1,1,1,1,1,1,1,1,1,1,1,1,ž,-8,,
32801,Other food and drink,Stock cubes and meat and yeast extracts,,,g,5,4,4,5,3,4,3,5,4,3,3,5,,+17,,
32901,Other food and drink,Jelly squares or crystals,,,g,4,4,3,4,3,4,6,7,5,8,4,5,ž,+5,,
33203,Other food and drink,Ice cream tub or block,,,ml,117,111,145,105,111,149,108,105,110,120,110,113,,+2,,
333,Other food and drink,Ice cream products including takeaways,,,ml,72,71,65,66,55,64,73,68,86,67,54,58,,-32,,
33302,Other food and drink,Ice cream products including takeaways,"Ice cream cornets, choc-ices, lollies with ice cream",,ml,42,49,42,46,36,43,52,39,45,40,25,33,,-27,,
33303,Other food and drink,Ice cream products including takeaways,"Ice lollies, sorbet, frozen mousse, frozen yoghurt",,ml,28,21,22,19,17,20,20,27,41,26,29,24,ž,-40,,
33304,Other food and drink,Ice cream products including takeaways,"Takeaway ice cream, ice cream products, milkshakes",,ml,2,1,1,1,2,1,1,1,0,1,1,1,ž,+155,,
33901,Other food and drink,Soya and novel protein foods,,,g,8,5,8,2,7,6,12,8,7,6,7,12,ž,+58,,
33401,Other food and drink,Salt,,,g,12,13,14,17,13,8,10,15,12,14,11,15,ž,+22,,
32101,Other food and drink,Other takeaway food brought home,,,g,0,0,0,0,0,0,0,1,0,0,0,0,ž, ,,
32201,Other food and drink,Meals on wheels - items not specified,,,g,0,1,5,0,2,1,0,1,0,0,0,0,ž, , ,
340344,Soft drinks, ,,,ml,"1,929","1,767","2,281","2,087","2,156","2,025","1,729","1,935","2,008","1,654","1,951","1,511",Ÿ,-25,yes,
34001,Soft drinks,"Soft drinks, concentrated, not low calorie (h)",,,ml,578,547,809,656,803,724,547,683,647,416,468,358,,-45,yes,m
34101,Soft drinks,"Soft drinks, not concentrated,  not low calorie",,,ml,780,683,900,884,777,687,641,697,723,540,721,438,,-39,yes,
34301,Soft drinks,"Soft drinks, concentrated, low calorie (h)",,,ml,197,204,123,113,163,188,203,164,205,314,236,275,,+34,,
34401,Soft drinks,"Soft drinks, not concentrated, low calorie",,,ml,374,334,449,433,414,426,338,391,433,383,526,440,,+2,,
350355,Confectionery, ,,,g,131,142,140,172,127,116,128,162,148,142,156,119,Ÿ,-19,,
35001,Confectionery,Chocolate bars - solid,,,g,29,22,30,41,33,31,34,37,36,38,35,36,,-0,,
35101,Confectionery,Chocolate bars - filled,,,g,56,66,65,81,53,45,57,64,60,60,68,43,,-29,,
35202,Confectionery,Chewing gum,,,g,3,4,3,3,2,3,3,4,2,2,2,1,ž,-25,,
353,Confectionery,Mints and boiled sweets,,,g,41,44,38,43,36,34,32,53,45,39,47,35,,-22,,
35301,Confectionery,Mints and boiled sweets,Mints,,g,4,6,6,4,6,4,4,7,5,3,4,2,ž,-66,yes,m
35302,Confectionery,Mints and boiled sweets,Boiled sweets,,g,37,37,32,39,30,30,28,46,41,36,43,34,,-17,,
35401,Confectionery,"Fudges, toffees, caramels",,,g,3,6,4,4,3,3,2,4,4,2,4,4,ž,-8,,
35501,Confectionery,Takeaway confectionery,,,g,0,0,0,0,0,0,0,0,0,0,0,0,ž,-100,,
380389,Alcoholic drinks, ,,,ml,944,759,830,752,972,882,747,812,788,748,991,560,,-29,yes,
38102,Alcoholic drinks,Beers,,,ml,78,80,81,72,95,64,71,74,76,100,197,55,ž,-28,,
38202,Alcoholic drinks,Lagers and continental beers,,,ml,419,335,352,312,395,417,294,300,275,323,327,222,,-19,,
38302,Alcoholic drinks,Ciders and perry,,,ml,140,82,118,60,140,127,93,82,142,151,171,37,ž,-74,yes,m
384,Alcoholic drinks,Wine and champagne,,,ml,217,198,212,256,280,209,239,304,225,139,245,211,,-6,,
38402,Alcoholic drinks,Wine and champagne,"Champagne, sparkling wines and wine with mixer",,ml,5,8,5,6,8,13,5,8,9,4,11,6,ž,-34,,
38403,Alcoholic drinks,Wine and champagne,Table wine,,ml,212,190,207,251,272,196,234,296,216,135,234,205,,-5,,
38501,Alcoholic drinks,Spirits with mixer,,,ml,3,0,1,1,1,0,0,2,3,1,2,2,ž,-47,,
38601,Alcoholic drinks,Fortified wines,,,ml,20,19,11,12,13,7,8,7,8,6,4,5,ž,-39,,
38701,Alcoholic drinks,Spirits,,,ml,41,31,29,29,33,35,33,30,46,25,30,19,ž,-58,yes,m
38801,Alcoholic drinks,Liqueurs and cocktails,,,ml,3,5,5,4,4,7,5,2,8,3,5,4,ž,-50,,
38901,Alcoholic drinks,Alcopops,,,ml,22,10,21,6,12,16,3,11,5,0,11,6,ž,+38,,
